Code	Itemname
0112	Flower nursery
0112	Flower seed production
0112	Flowers, field grown (nursery)
0112	Flowers, greenhouse, growing
0112	Foliage, greenhouse, growing
0112	Food crops (except mushrooms) grown under cover
0112	Foundation plants, nursery, growing
0112	Fruit and nursery stock
0112	Fruit and vegetable farming, primarily vegetable
0112	Fruit stocks, growing of
0112	Garden nursery
0112	Garden, market, operating
0112	Garlic, farming
0112	Gathering of wild grown mushrooms and truffles
0112	Geraniums, greenhouse grown
0112	Green lima bean farming
0112	Green pea farming
0112	Greenhouse flowers
0112	Greenhouse growing trees
0112	Greenhouse operating
0112	Greenhouse plants, growing
0112	Greenhouse tomatoes, growing
0112	Greenhouse vegetables, growing
0112	Greenhouse, ornamental flower, growing
0112	Greenhouses for growing food crops
0112	Greenhouses tomatoes cucumbers
0112	Greenhouses, growing of floral products
0112	Growing and sale mushrooms
0112	Growing mushrooms
0112	Hedging
0112	Holly growing
0112	Horseradish, growing
0112	Hydroponic crops, grown under cover
0112	Hydroponic lettuce
0112	Kohlrabi growing
0112	Leek farming
0112	Lettuce farming
0112	Lettuce growing
0112	Maple products production, on the farm
0112	Maple sap, gathering of
0112	Maple sugar bush, operating
0112	Maple sugar production, on farm
0112	Maple syrup production, on farm
0112	Maple taffy production, on farm
0112	Market gardening
0112	Market gardening, greenhouse
0112	Mats, preseeded, soil erosion, producing
0112	Melon farming
0112	Mixed vegetables growing
0112	Mushroom cellars
0112	Mushroom farm
0112	Mushroom farming
0112	Mushroom houses
0112	Mushroom product
0112	Mushroom spawn farming
0112	Mushroom spawn, production of
0112	Mushrooms, growing and packing
0112	Nursery farm
0112	Nursery plant stock, growing
0112	Nursery plants, ornamental, growing
0112	Nursery stock blueberries
0112	Nursery stock, growing of
0112	Olive groves and farms
0112	Onion farming
0112	Onions, dry, growing
0112	Onions, green (shallots), growing
0112	Ornamental plant growing
0112	Ornamental shrubs, nursery grown
0112	Parsnips farming
0112	Pea farming (except dry peas)
0112	Pepper farming (e.g., bell, chili, green, hot, red, sweet)
0112	Plant nursery
0112	Plants, potted, greenhouse grown
0112	Plants, potted, growing of
0112	Potatoes and cauliflower growing, combination
0112	Potatoes and holly growing, combination
0112	Potatoes and turnips growing, combination
0112	Potted flowers and plants, greenhouse grown
0112	Pumpkin farming
0112	Radish farming
0112	Retail greenhouse, floral
0112	Retail greenhouse, food crop
0112	Rhododendrons, nursery grown, producing
0112	Rhubarb farming
0112	Rhubarb grown under cover
0112	Romaine lettuce farming
0112	Rose bushes growing
0112	Roses, greenhouse, growing
0112	Rutabaga farming
0112	Seed growing, flower
0112	Seed growing, vegetable
0112	Shallot farming
0112	Shrub nursery, ornamental, growing
0112	Shrubberies (except forest shrubbery), growing of
0112	Snap bean farming (i.e., bush and pole)
0112	Sod (turf) farming
0112	Spinach farming
0112	Squash farming
0112	Squash, growing
0112	Sweet corn farming
0112	Sweet corn, growing
0112	Sweet pepper farming
0112	Tomato farm
0112	Tomato farming, grown under cover
0112	Tomato growing
0112	Tomato seedlings
0112	Tropical foliage and green plants, greenhouse grown
0112	Truck farming
0112	Truck farms
0112	Truffles farming, grown under cover
0112	Turf (sod) farming
0112	Turnips, table, growing
0112	Vegetable bedding plants, growing of
0112	Vegetable crops, growing
0112	Vegetable farm (except potato)
0112	Vegetable farming (except field crops)
0112	Vegetable farming, grown under cover
0112	Vegetable growing, greenhouse
0112	Vegetable producer
0112	Vegetable production and marketing
0112	Vegetable seed growing
0112	Vegetables, fresh, greenhouse, growing
0112	Watermelon farming
0113	Almond groves and farms
0113	Apple and cherry orchards
0113	Apple farm
0113	Apple orchards
0113	Apple producers
0113	Apricot orchards
0113	Apricot orchards and farms
0113	Avocado orchards and farms
0113	Banana farming
0113	Berry farming
0113	Berry farms
0113	Blackberry farmings
0113	Blueberry contractor
0113	Blueberry farming
0113	Blueberry growing
0113	Blueberry producers
0113	Cherry farming
0113	Cherry orchards
0113	Coffee farming
0113	Commercial blueberry fields, operating
0113	Cranberries (partridge berries), growing
0113	Cranberry bogs
0113	Cranberry farming
0113	Currant farming
0113	Currants, growing
0113	Date orchards and farms
0113	Dewberry farming
0113	Farm, berry
0113	Farm, fruit
0113	Farming strawberries and raspberries
0113	Fig orchards and farms
0113	Filbert groves and farms
0113	Filberts farming
0113	Fruit and vegetable farming, primarily fruit
0113	Fruit farm peaches grapes pears
0113	Fruit farming
0113	Fruit farming, grapes, plums, cherries, peaches and pears
0113	Fruit farming, grown under cover
0113	Fruit growers (e.g., cherries, pears, grapes, apples)
0113	Fruit orchard operating
0113	Grape and fruit farm
0113	Grape farm
0113	Grape growing and making wine
0113	Grapefruit groves and farms
0113	Grapes (vineyards)
0113	Grapes, growing
0113	Hazelnuts farming
0113	Kiwi fruit farming
0113	Lemon groves and farms
0113	Lime groves and farms
0113	Loganberry farming
0113	Loganberry growing
0113	Macadamia groves and farms
0113	Mate plantation
0113	Nectarine growing
0113	Nectarine orchards and farms
0113	Orange groves and farms
0113	Peach growing
0113	Peach orchard
0113	Peach orchards and farms
0113	Peaches and grapes
0113	Pear growing
0113	Pear orchards and farms
0113	Pecan groves and farms
0113	Persimmon orchards and farms
0113	Pineapple farming
0113	Pineapple plantation
0113	Pistachio groves and farms
0113	Plantain farming
0113	Plum orchards and farms
0113	Plums, growing
0113	Pomegranate orchards and farms
0113	Prune orchards and farms
0113	Prunes, growing
0113	Quince orchards and farms
0113	Raspberries, growing
0113	Raspberry farming
0113	Small fruit farming
0113	Strawberries, growing
0113	Strawberry farming
0113	Tangerine groves and farms
0113	Tea plantation
0113	Tender fruits
0113	Tree fruit farming
0113	Tree fruits grapes
0113	Tropical fruit farms
0113	Vineyard
0113	Vineyard and fruit trees
0113	Walnut groves and farms
0113	Walnuts, growing
0121	Beef and lamb, producing
0121	Beef cattle farms (except feedlots)
0121	Beef cattle feedlots
0121	Beef cattle finishing
0121	Beef cattle for slaughter
0121	Beef cattle ranching
0121	Beef cattle, raising
0121	Beef farming (cow calf)
0121	Beef operation
0121	Beef production
0121	Beef, cattle, sheep and goat combination, farming
0121	Beef, cow, calf and feedlot
0121	Burro production
0121	Cattle feedlot operations
0121	Cattle feedlots
0121	Cattle for slaughter, raising
0121	Cream, fluid, raw, producing
0121	Dairy cows and milk, producing
0121	Dairy farming
0121	Dairy heifer replacement production
0121	Donkey production
0121	Dual purpose cattle raising (for milk or for slaughter)
0121	Equines, raising
0121	Farm, dairy
0121	Farm, goat
0121	Farm, horse
0121	Farm, sheep
0121	Farming mainly beef
0121	Feedlot contractor, beef
0121	Feedlot finishing, beef
0121	Feedlot, beef cattle
0121	Feedlots, lamb
0121	Fluid cream, raw, producing
0121	Fluid milk, raw, producing
0121	Goat farming
0121	Goat's milk production
0121	Goat's milk, raw fluid, producing
0121	Horse and cattle, raising
0121	Horse farm
0121	Horse ranching
0121	Lamb raising
0121	Livestock and animal specialty combination farms of ISIC class 0121
0121	Livestock farming, sheep and goats
0121	Milk breeding stock, raising
0121	Milk producer
0121	Milk production, dairy cattle farm
0121	Milk production, goat farm
0121	Milk, fluid, raw, producing
0121	Mohair farming
0121	Mule production
0121	Pony production
0121	Pregnant mares' urine (pmu), producing
0121	Produce milk and beef
0121	Quarter horses, raising
0121	Race horses, raising
0121	Raising goats
0121	Raising horses
0121	Raising sheep
0121	Ranch, sheep
0121	Ranching, beef cattle
0121	Sheep and dairy, farming
0121	Sheep farming
0121	Sheep feeding farms and ranches
0121	Sheep raising farms and ranches
0121	Sheep ranching
0121	Stock raising, dairy animal
0121	Stockyards, exclusively for fattening cattle
0121	Swine and poultry combination farms
0121	Wool production, farming
0122	Alligator production, farm raising
0122	Apiaries
0122	Apiculture
0122	Aviaries (e.g., raising parakeet, canary, love birds)
0122	Bee farming
0122	Beekeeping
0122	Bird (song and pet) raising
0122	Bison production
0122	Boar raising
0122	Broiler chicken farming
0122	Broiler chickens, raising of
0122	Broiler operation, farm (chicken raising)
0122	Buffalo production
0122	Capon farming
0122	Cat production
0122	Cats, domestic, raising
0122	Chick hatchery service
0122	Chicken and hogs
0122	Chicken egg farming
0122	Chicken egg farms
0122	Chicken farming
0122	Chicken farms or ranches, raising for slaughter
0122	Chicken hatching services for farmers
0122	Chicken, farming
0122	Chinchilla production
0122	Chinchilla ranching
0122	Commercial hog farm
0122	Commercial mink ranch
0122	Cornish hen farms
0122	Dog farms
0122	Dog production
0122	Dogs, raising
0122	Duck farming
0122	Earthworm hatcheries
0122	Egg (chicken) farms and ranches
0122	Egg farms, chicken
0122	Egg farms, poultry (except chicken and turkey)
0122	Egg farms, turkey
0122	Egg hatcheries, poultry
0122	Elk production
0122	Emu farming
0122	Farm, poultry
0122	Farm, turkey
0122	Farrow to finish hog farm
0122	Feedlots, hog
0122	Fox production
0122	Fox ranching
0122	Frog farms
0122	Frog production, farm raising
0122	Frogs, breeding and raising
0122	Fryer chickens, raising
0122	Frying chickens, raising of
0122	Fur bearing animal production
0122	Fur farming
0122	Fur-bearing animal skins (ranch raised), undressed, producing
0122	Game farm (fur bearing animals)
0122	Geese farming
0122	Geese, raising
0122	Goose farm
0122	Guinea fowl, raising
0122	Guinea pigs, raising
0122	Hamsters, raising
0122	Hatcheries, poultry
0122	Hog farm
0122	Hog feedlot
0122	Hog operation (farm)
0122	Hog raising
0122	Hog ranch
0122	Honey and beeswax production
0122	Honey, natural, unprocessed, producing
0122	Kennels, breeding and raising stock for sale
0122	Laboratory animal production (e.g., rats, mice, guinea pigs)
0122	Llama production
0122	Mink production
0122	Mink ranching
0122	Muskrat farm
0122	Ostrich farming
0122	Pet animal, raising
0122	Pheasant farming
0122	Pheasant hatchery
0122	Pheasant raising
0122	Pig farming
0122	Pigeon farming
0122	Pork producer
0122	Poultry farming
0122	Poultry hatchery
0122	Poultry operation
0122	Quail farming
0122	Rabbit production
0122	Rabbit raising
0122	Raising fur-bearing animals
0122	Raising hogs
0122	Raising minks
0122	Rattlesnake production
0122	Reindeer farming
0122	Roasting chickens, raising of
0122	Rodent (pet and laboratory) raising
0122	Silk (raw) production and silkworm farms
0122	Song birds, raising
0122	Sows, raising
0122	Squab farming
0122	Started pullet farms
0122	Swine farm
0122	Swine farrow to finish (farming)
0122	Swine operation
0122	Swine production
0122	Swine, raising
0122	Turkey egg production
0122	Turkey farming
0122	Turkey poults
0122	Weanling (feeder) pigs, raising
0122	Worm farms
0122	Worm production
0130	Crop and livestock combination farm (primarily crop)
0130	Crop and livestock farming, combination (pimarily livestock)
0140	Aerial crop dusting service
0140	Aerial crop spraying service
0140	Agricultural crops services
0140	Agricultural product sterilization service
0140	Almond hulling and shelling service
0140	Animal breeding services (except cattle, hogs, sheep, goats and poultry)
0140	Animal husbandry service
0140	Animal judging service
0140	Animal pedigree service
0140	Animal semen collection, production and storage services
0140	Animal shelters
0140	Apple picking, hand
0140	Arborist services
0140	Artificial insemination services, animal specialties
0140	Artificial insemination services, livestock
0140	Artificial nucleation (cloud seeding)
0140	Bean cleaning service
0140	Berries, machine harvesting of
0140	Blueberry harvesting, hand
0140	Boarding horses
0140	Boarding kennel service, pet
0140	Bracing of orchard trees and vines
0140	Breeding services, farm animal
0140	Breeding services, farm animal specialties
0140	Breeding services, livestock
0140	Breeding services, pet and small animal
0140	Breeding services, poultry
0140	Brush killing service, chemical
0140	Bull semen collecting
0140	Caponizing service
0140	Catching poultry, with no hauling
0140	Cattle breeding services
0140	Cattle dehorning service
0140	Cattle registration service
0140	Cattle spraying, service
0140	Cemetery plot care services
0140	Chemical dusting and spraying service, crops and plants (except from aircraft)
0140	Chemical treatment of soil
0140	Chemical treatment of soil for crops
0140	Cherry picking, hand
0140	Chick sexing service
0140	Chopping and silo filling
0140	Citrus grove cultivation service
0140	Cleaning poultry houses
0140	Cleaning service, grain
0140	Cleaning, corral, service
0140	Clipping animal, pet
0140	Cloud seeding
0140	Combining service, agricultural crop
0140	Compressing cotton and other plant, contract
0140	Contract spraying, crops and plants (except from aircraft)
0140	Corn detassling service
0140	Corn drying service
0140	Corn shelling service
0140	Corral cleaning, service
0140	Cotton ginning
0140	Cotton pickery
0140	Cotton seed delinting
0140	Cotton, machine harvesting of
0140	Crew leaders, farm labour, contract
0140	Crop cultivating service
0140	Crop dusting service (except from aircraft)
0140	Crop dusting service (from aircraft)
0140	Crop dusting service, with/without fertilizing
0140	Crop gathering service
0140	Crop harvesting service
0140	Crop planting service
0140	Crop spraying service (except from aircraft)
0140	Crop spraying service (from aircraft)
0140	Crop spraying service, with/without fertilizing
0140	Crop weeding service, mechanical
0140	Cultivating service, crop
0140	Cultivation of sprouts, twigs
0140	Cultivation service, mechanical and flame
0140	Custom farming (planting and cultivating), contract services
0140	Custom spraying service, orchards, crops
0140	Custom spraying, crops and plants (except from aircraft), agricultural
0140	Dairy herd improvement associations
0140	Decorticating flax
0140	Degumming cotton and other plant, contract
0140	Detasseling of corn
0140	Disease control for crops
0140	Dog pounds
0140	Drying of corn, rice, hay, fruits and vegetables
0140	Dusting crops
0140	Egg grading station
0140	Embryo transplant service, agricultural
0140	Entomological service, agricultural
0140	Farm animal breeding service (except poultry)
0140	Farm animal specialties breeding services
0140	Farm labour contractors
0140	Farm labour pool (supplies help to farmers)
0140	Farm produce grading service (except eggs)
0140	Farm produce packing service
0140	Farm product sorting, grading or packing service (for the grower)
0140	Feedlot cleaning, service
0140	Fertilizer application for crops
0140	Fertilizer application service
0140	Fertilizer spreading service (except from aircraft)
0140	Filbert hulling and shelling (fee or contract basis)
0140	Filbert hulling and shelling service
0140	Flax decorticating and retting service
0140	Fruit drying, service
0140	Fruit picking service, hand
0140	Fruit precooling, not in connection with transportation
0140	Fruit sorting, grading and packing service
0140	Fruit vacuum cooling service
0140	Fruits and vegetables, machine harvesting of
0140	Fruits, machine harvesting of
0140	Fur pelting service
0140	Garden maintenance services
0140	Garden planting
0140	Gardening, landscape
0140	Gathering service, agricultural crop and plant
0140	Ginning cotton
0140	Ginning moss
0140	Grading farm products (for the grower)
0140	Grain cleaning service
0140	Grain drying service
0140	Grain fumigation service
0140	Grain, machine harvesting of
0140	Groundskeeper, independent
0140	Guard dog training
0140	Guide dog training
0140	Harvesting service, agricultural crop and plant
0140	Hay drying service
0140	Hay mowing, raking, baling and chopping
0140	Hoeing service
0140	Honey pollen pollination services
0140	Honey straining on the farm
0140	Hoofs trimming, cattle, service
0140	Horses, boarding (except racehorses)
0140	Hulling and shelling of nuts
0140	Humane society (animal shelters)
0140	Insect control for crops
0140	Insecticide spraying service, crops and plants (except from aircraft)
0140	Insemination station, artificial, livestock
0140	Inspection and grading of agricultural products
0140	Irradiation of fruits and vegetables
0140	Irrigation system operation
0140	Kennels, pet boarding
0140	Landscape construction
0140	Landscape contractors
0140	Landscape services
0140	Landscaping services
0140	Lawn care services
0140	Lawn fertilizing services
0140	Lawn maintenance services
0140	Lawn mowing services
0140	Lawn seeding services
0140	Lawn spraying services
0140	Lime spreading
0140	Lime spreading for crops
0140	Lime spreading service, agricultural
0140	Line slash (rights-of-way) maintenance
0140	Livestock breeding services
0140	Livestock inseminating services
0140	Livestock registration services
0140	Livestock spraying (with insecticide) services
0140	Machine harvesting of fruits, berries, nuts, vegetables, sugar cane
0140	Maintenance of plants and shrubs in buildings
0140	Maintenance of rights-of-way (i.e., controlling vegetation)
0140	Management services for aquaculture industry
0140	Milk testing, for butterfat
0140	Mink pelting service
0140	Moss ginning service
0140	Mowing services, highway and road
0140	Nut hulling and shelling service
0140	Nuts, machine harvesting of
0140	Obedience training services, pet
0140	Orchard cultivation services
0140	Orchard fruit picking, hand
0140	Orchard spraying and dusting service (except from aircraft)
0140	Packaging service, fresh or farm, dried fruits and vegetables
0140	Packing service, fruits and vegetables
0140	Peanut shelling, custom
0140	Peanuts, machine harvesting of
0140	Pecan hulling and shelling
0140	Pedigree record services (i.e., livestock, pets, poultry)
0140	Pedigree record services for pets and other animal specialties
0140	Pedigree service, animal
0140	Pesticide spraying service, crops and plants (except from aircraft)
0140	Pet boarding service
0140	Pet breeding services
0140	Pet grooming services
0140	Pet sitting services
0140	Pet training services
0140	Pet washing and grooming
0140	Picking apples, hand
0140	Picking fruit, hand
0140	Plant and shrub maintenance in buildings
0140	Plant dusting and spraying service (except from aircraft), agricultural
0140	Plant thinning service, mechanical, agricultural service
0140	Planting crops
0140	Planting, tree (not forest)
0140	Ploughing service, agricultural
0140	Pollinating service
0140	Potato curing service
0140	Poultry breeding services
0140	Poultry house cleaning services
0140	Pruning and tree surgery service
0140	Pruning of orchard trees and vines
0140	Pruning service, orchard
0140	Reaping services
0140	Registration service, livestock
0140	Retting flax
0140	Rice drying service
0140	Rototilling service
0140	Seasonal property maintenance services (i.e., snow ploughing in winter, landscaping during other seasons)
0140	Seed bed preparation service
0140	Seed chemical treatment service
0140	Seed cleaning service, agricultural
0140	Seed drilling service, agricultural
0140	Seed treating service, chemical
0140	Seeding crops
0140	Seeding highway strips
0140	Seeding lawns
0140	Seeding of sprouts and twigs
0140	Services incidental to agricultural crops, unspecified
0140	Sheep dipping and shearing
0140	Sheep dipping services
0140	Sheep shearing service
0140	Shelling nuts on contract
0140	Small animal breeding services
0140	Sod laying services
0140	Soil preparation service
0140	Sorting farm products (for the grower)
0140	Sorting, grading, cleaning and packing of fruits and vegetables
0140	Spraying crops
0140	Spraying service, agricultural crops (except from aircraft)
0140	Spreading lime
0140	Spreading lime for crops
0140	Strawberry pickers, hand
0140	Stud services, farm animal
0140	Sugar beets, machine harvesting of
0140	Sugarcane, machine harvesting of
0140	Surgeons, tree
0140	Surgery on orchard trees and vines
0140	Sweet potato curing service
0140	Thinning of crops, mechanical and chemical
0140	Threshing service, agricultural crop and plant
0140	Tobacco grading service
0140	Tobacco leaf grading service
0140	Tobacco picking service
0140	Training horses (except racehorses)
0140	Training of pets, service
0140	Tree nut hulling and shelling (fee or contract basis)
0140	Tree nuts, machine harvesting of
0140	Tree removal services
0140	Tree services (i.e., planting, pruning, bracing, spraying)
0140	Tree surgeons
0140	Tree surgery service
0140	Trees, orchard, cultivation service
0140	Trees, orchard, planting, pruning, bracing, spraying, removal and surgery
0140	Turf installation (except artificial)
0140	Vegetable drying service
0140	Vegetable precooling, not in connection with transportation
0140	Vegetable sorting, grading and packing service
0140	Vegetable vacuum cooling service
0140	Vegetables, machine harvesting of
0140	Vermin destroying, farm service
0140	Vermin trapping, farm service
0140	Vineyard cultivation services
0140	Walnut hulling and shelling (fee or contract basis)
0140	Water distribution for irrigation
0140	Weed control and fertilizing services (except for crops)
0140	Weed control service, chemical, agriculture
0140	Weed control service, crop, before planting
0140	Weed control, crop, after planting
0140	Weed spraying service, crops and plants (except from aircraft)
0140	Wool grading service
0150	Animal trapping, commercial
0150	Animal trapping, wild, for zoo or game farm
0150	Animals, fur-bearing, hunting, trapping and skinning
0150	Bird trapping, wild, for zoo or game farm
0150	Fur skins, wild animal, undressed (except seal skins), producing
0150	Fur trapping and hunting
0150	Fur-bearing animals, hunting, trapping and skinning
0150	Game management (game preserve)
0150	Game preserves, operation of
0150	Game propagation
0150	Game retreats, operation of
0150	Hunting and trapping, wild animals for furs (except seals)
0150	Hunting carried on as a business enterprise
0150	Hunting fur-bearing animals for furs
0150	Hunting preserves, operation of
0150	Pelts, wild animal, undressed (except seal skins), skinning
0150	Seal hunting
0150	Sealing
0150	Skins, wild animal, undressed (except seal skins), producing
0150	Trapping
0150	Trapping carried on as a business enterprise
0150	Trapping fur-bearing animals for furs
0150	Trapping, wild animals for furs (except seal skins)
0150	Wild animal hunting and trapping for furs and skins (except seal skins)
0150	Wild animal pelts, undressed (except seal skins)
0150	Wildlife management (hunting preserve)
0150	Worm gathering
0150	Worm picking
0200	Aerial water bombing service
0200	Balsam needles, gathering of
0200	Barks, gathering of
0200	Beachcombers (log recovery)
0200	Bolts, wood (e.g., handle, heading, shingle, stave), cutting
0200	Bolts, wooden, cutting
0200	Booming logs
0200	Booming, bunching, rafting, driving logs
0200	Bucking trees
0200	Bunching logs
0200	Burls, wood, cutting
0200	Cherry gum, gathering of
0200	Chestnut gum, gathering of
0200	Christmas tree cutting
0200	Christmas tree farming
0200	Christmas tree growing
0200	Cone gathering service
0200	Contract logging
0200	Contract timber felling
0200	Contractor, log, booming
0200	Contractor, log, bucking
0200	Contractor, log, salvage
0200	Contractor, log, skidding
0200	Contractor, log, tree felling
0200	Contractor, log, yarding
0200	Contractor, logging (skidding, yarding, booming, rafting)
0200	Cork collecting
0200	Crossties, hewn, producing
0200	Cruising timber
0200	Custom logging, contractor
0200	Cutting cordwood, in the forest
0200	Decking logs
0200	Distillation of gums (except pine gum), if carried on at the gum farm
0200	Distillation of gums, if carried on at the gum farm
0200	Distillation of turpentine and rosin, if carried on at the gum farm
0200	Driving (river) logs, service
0200	Driving timber
0200	Estimating timber
0200	Felling trees (logging)
0200	Fence posts, cutting
0200	Fire inspection, forest
0200	Fire prevention, forest
0200	Fire protection, forest
0200	Fire-fighting, forest
0200	Firewood cutting, in the forest
0200	Flower, wild, gathering
0200	Forest conservation services
0200	Forest management
0200	Forest mensuration services
0200	Forest nurseries
0200	Forest patrol
0200	Forest protection services
0200	Forestfire fighting services
0200	Forestry farms
0200	Forestry maintenance
0200	Forestry nursery service
0200	Forestry services
0200	Fruit tree stock growing (nursery)
0200	Fruit trees, nursery stock, growing
0200	Fuel wood harvesting, logging
0200	Fuelwood cutting
0200	Furze gathering
0200	Gathering of forest products (e.g., gums, barks, seeds)
0200	Gathering of gums (except pine gum) and barks
0200	Gathering, extracting and selling of tree seeds
0200	General logging contracting
0200	Ginseng, gathering of
0200	Gum (i.e., forest product) gathering
0200	Gums (except pine gum), gathering of
0200	Gums, gathering of
0200	Handle bolts, wood, hewn, logging
0200	Heading bolts, wood, hewn, logging
0200	Hemlock gum, gathering of
0200	Huckleberry greens, gathering of
0200	Lac production
0200	Last blocks, wood, hewn or riven, logging
0200	Latex collecting, not on plantation
0200	Leaf collecting
0200	Log barking (rossing)
0200	Log booming
0200	Log bucking
0200	Log bunching
